"id","category","rule_name","symptom_keywords","trigger_condition","risk_level","is_immediate_vet","recommended_action","evidence_id","priority"
"1","공통 응급처치","응급 상황 기본 안내","[""응급"", ""위험해"", ""병원"", ""어떡해"", ""대처""]","사용자가 응급 여부 또는 대처 방법을 일반적으로 문의한 경우","주의","0","응급처치는 진료를 대체하지 않으므로 증상이 심하거나 불확실하면 수의사 또는 응급 동물병원에 연락하세요.","1","30"
"2","부상/안전","부상 반려견 이동 전 보호자 안전","[""부상"", ""다쳤"", ""물릴"", ""입마개"", ""옮겨"", ""이동""]","부상한 반려견을 만지거나 이동해야 하는 상황이 언급된 경우","주의","0","반려견 입 가까이에 얼굴을 대지 말고, 가능하면 도움을 받아 안전하게 이동하세요. 구토 중이라면 입마개를 하지 마세요.","2","60"
"3","중독","독성 물질 섭취/접촉 의심","[""독"", ""중독"", ""약"", ""세제"", ""쥐약"", ""부동액"", ""먹었"", ""삼켰"", ""핥았""]","독성 가능 물질 섭취/접촉 또는 유해 물질 노출이 언급된 경우","위험","1","물질명, 양, 경과 시간, 증상을 정리해 즉시 동물병원 또는 독성 상담 기관에 연락하세요.","3","100"
"4","중독","중독 상담 정보 정리","[""제품명"", ""성분표"", ""얼마나"", ""언제 먹"", ""체중"", ""포장지""]","독성 상담 또는 병원 전달 정보를 정리해야 하는 경우","주의","0","제품명/성분표, 섭취량, 섭취 시간, 체중, 현재 증상을 정리해 병원에 전달하세요.","4","70"
"5","외상","골절/심한 절뚝거림 의심","[""골절"", ""다리 부러"", ""절뚝"", ""절뚝거"", ""쩔뚝"", ""쩔뚝거"", ""다리를 절"", ""다리 절"", ""절어요"", ""삐끗"", ""계단"", ""추락"", ""사고"", ""못 걸어"", ""걷기 힘들"", ""다리 못 딛"", ""딛지 못"", ""소리 질러""]","골절, 추락, 교통사고 또는 심한 절뚝거림이 언급된 경우","위험","1","움직임을 최소화하고 평평한 표면으로 지지한 뒤 가까운 동물병원으로 이동하세요.","5","90"
"6","출혈","내부 출혈 의심","[""코피"", ""입에서 피"", ""혈뇨"", ""피 섞인 기침"", ""창백한 잇몸"", ""쓰러짐""]","내부 출혈 의심 징후가 언급된 경우","위험","1","따뜻하고 조용하게 유지하면서 즉시 가까운 동물병원으로 이동하세요.","6","100"
"7","출혈","심한 외부 출혈","[""피가 많이"", ""출혈"", ""피 안 멈"", ""상처"", ""물렸"", ""찢어""]","외부 상처 출혈 또는 피가 계속 나는 상황이 언급된 경우","위험","1","깨끗한 천으로 직접 압박하고, 심한 출혈이면 즉시 병원으로 이동하세요.","7","95"
"8","화상","화상/열 손상","[""화상"", ""데였"", ""뜨거운 물"", ""불에"", ""화끈""]","화상 또는 고온 접촉으로 인한 손상이 언급된 경우","위험","1","상온의 물로 식히고 젖은 수건으로 덮은 뒤 즉시 동물병원에 방문하세요.","8","90"
"9","눈","눈 부상/이물질","[""눈"", ""눈 다침"", ""눈에"", ""눈 이물질"", ""눈 긁"", ""눈 비비"", ""눈 비벼"", ""눈을 비비"", ""눈을 비벼"", ""충혈"", ""눈 충혈"", ""눈 빨개"", ""눈 빨갛"", ""눈이 빨갛"", ""눈 붉"", ""빨게"", ""눈 못 떠""]","눈 부상, 눈 속 이물질, 눈을 비비는 상황이 언급된 경우","위험","1","가능하면 식염수로 부드럽게 씻고 눈을 비비지 못하게 한 뒤 즉시 병원에 방문하세요.","9","90"
"10","교상/독","뱀 물림","[""뱀"", ""독사"", ""뱀에 물"", ""물렸어""]","뱀에 물린 상황이 언급된 경우","위험","1","뱀을 잡으려 하지 말고, 가능하면 안전한 거리에서 사진을 찍은 뒤 즉시 병원으로 이동하세요.","10","100"
