"id","food_name","risk_level","danger_reason","observed_symptoms","response","dose_note","risk_condition","source_references","is_immediate_vet"
"1","알코올","위험","- 알코올은 구토, 설사, 운동실조, 호흡곤란, 떨림, 혼수, 사망까지 유발할 수 있음 | - 알코올은 빠르게 흡수되어 저혈당, 저혈압, 저체온, 발작, 호흡부전을 유발할 수 있음","- 구토, 설사, 비틀거림, 호흡곤란, 떨림, 의식저하 | - 비틀거림, 진정, 저혈당, 저체온, 위장장애, 호흡저하, 혼수","- 섭취량과 시간을 확인하고 즉시 동물병원에 연락 | - 섭취량과 시간을 확인하고 즉시 병원 연락","- 알코올은 빠르게 흡수될 수 있어 노출 시 신속한 상담 필요 | - 효모 반죽도 알코올 독성을 유발할 수 있음","- 알코올 음료 또는 알코올 함유 식품 섭취 | - 술, 알코올 음료, 알코올 포함 디저트/반죽 섭취","[{""source_org"": ""ASPCA Animal Poison Control"", ""source_title"": ""ASPCA"", ""url"": ""https://www.aspca.org/pet-care/aspca-poison-control/people-foods-avoid-feeding-your-pets""}, {""source_org"": ""Pet Poison Helpline"", ""source_title"": ""기존 알코올 row 보완용"", ""url"": ""https://www.petpoisonhelpline.com/pet-owners/poison-proof-your-home/kitchen/""}]","1"
"2","생효모 반죽","위험","- 생효모 반죽은 위장 내 팽창과 가스 축적, 위 팽창/꼬임 위험 및 알코올 생성 우려가 있음 | - 효모 반죽은 위장 내 팽창, 에탄올 생성, 위팽창/꼬임 위험이 있음","- 복부팽만, 통증, 구토, 무기력 가능 | - 비틀거림, 저혈당, 저체온, 위장장애, 호흡저하, 혼수, 복부팽만, 헛구역질","- 섭취량과 시간을 확인하고 즉시 병원 상담 | - 섭취량과 경과 시간을 확인해 즉시 병원 상담","- 섭취량, 반려견 크기, 경과 시간에 따라 위험도 상승 | - 깊은 흉곽 견종에서 위팽창/꼬임 위험에 특히 주의","- 생반죽/이스트 반죽 섭취 | - 생효모 반죽/빵 반죽 섭취","[{""source_org"": ""ASPCA Animal Poison Control"", ""source_title"": ""ASPCA"", ""url"": ""https://www.aspca.org/pet-care/aspca-poison-control/people-foods-avoid-feeding-your-pets""}, {""source_org"": ""Pet Poison Helpline"", ""source_title"": ""기존 생효모 반죽 row 보완용"", ""url"": ""https://www.petpoisonhelpline.com/pet-owners/poison-proof-your-home/kitchen/""}]","1"
"3","초콜릿","위험","- 초콜릿의 methylxanthine 성분은 구토, 설사, 헐떡임, 과활동, 부정맥, 떨림, 발작, 사망까지 유발 가능 | - 카카오 함량이 높을수록 theobromine/caffeine 농도가 높아 적은 양으로도 독성이 커질 수 있음 | - 초콜릿의 caffeine과 theobromine은 중추신경계와 심장을 자극하며, 진하고 쓴 초콜릿일수록 위험도가 높다.","- 구토, 설사, 헐떡임, 갈증/배뇨 증가, 과활동, 부정맥, 떨림, 발작 | - 초조/과활동, 구토, 설사, 심박 증가, 발작 가능 | - 구토, 설사, 갈증/배뇨 증가, 안절부절, 빠른 호흡, 심박 증가/부정맥, 떨림, 비틀거림, 발작, 발열, 혼수","- 초콜릿 종류와 섭취량, 시간을 확인하고 즉시 병원 연락 | - 초콜릿 종류와 양, 시간을 확인해 즉시 병원/독성 상담 기관에 연락 | - 초콜릿 종류, 섭취량, 섭취 시간, 반려견 체중을 확인하고 즉시 응급 수의사에게 연락","- 다크/베이킹/코코아 등 카카오 함량이 높을수록 위험 증가 | - 다크·베이킹·코코아·반단맛 제품은 milk/white보다 위험도가 높음 | - 개의 크기와 초콜릿 종류·섭취량에 따라 위험도가 달라지며, 작은 개나 진한 초콜릿은 소량도 응급으로 간주","- 초콜릿·코코아·카카오 제품 섭취 | - 초콜릿·코코아 제품 섭취 | - 초콜릿, 코코아, 카카오, 다크초콜릿, 베이킹초콜릿 섭취","[{""source_org"": ""ASPCA Animal Poison Control"", ""source_title"": ""ASPCA"", ""url"": ""https://www.aspca.org/pet-care/aspca-poison-control/people-foods-avoid-feeding-your-pets""}, {""source_org"": ""Pet Poison Helpline"", ""source_title"": ""기존 초콜릿 row 보완용"", ""url"": ""https://www.petpoisonhelpline.com/pet-owners/poison-proof-your-home/kitchen/""}, {""source_org"": ""Cornell Richard P. Riney Canine Health Center"", ""source_title"": ""기존 초콜릿 row 보완용; 실제 DB 반영 시 references 병합 권장"", ""url"": ""https://www.vet.cornell.edu/departments-centers-and-institutes/riney-canine-h...""}]","1"
"4","커피/카페인","위험","- 커피와 카페인은 methylxanthine 관련 독성으로 초콜릿과 유사한 증상을 유발할 수 있음 | - 커피, 차, 초콜릿, 카페인 알약/다이어트약 등에서 카페인 독성이 가능함","- 구토, 설사, 헐떡임, 과활동, 부정맥, 떨림, 발작 | - 불안, 과활동, 구토, 헐떡임, 심박 증가, 쇠약, 설사","- 섭취한 제품과 카페인 함량, 양, 시간을 확인해 병원 연락 | - 제품과 카페인 함량, 양, 섭취 시간을 확인해 병원 연락","- 카페인 함량이 높은 제품일수록 위험 증가 | - 카페인 알약 섭취는 특히 위험","- 커피, 카페인 음료, 에너지드링크 섭취 | - 커피, 차, 카페인 음료/약 섭취","[{""source_org"": ""ASPCA Animal Poison Control"", ""source_title"": ""ASPCA"", ""url"": ""https://www.aspca.org/pet-care/aspca-poison-control/people-foods-avoid-feeding-your-pets""}, {""source_org"": ""Pet Poison Helpline"", ""source_title"": ""기존 카페인 row 보완용"", ""url"": ""https://www.petpoisonhelpline.com/pet-owners/poison-proof-your-home/kitchen/""}]","1"
"5","포도/건포도/커런트","위험","- 포도 노출은 개에서 신장 손상으로 이어질 수 있음 | - 건포도 노출은 개에서 신장 손상으로 이어질 수 있음 | - 개에서 급성 신부전 위험이 있으며 알려진 안전 용량이 없어 모든 섭취를 잠재적 독성으로 보아야 함","- 구토, 무기력, 식욕저하, 소변 이상 가능 | - 구토, 설사, 무기력, 식욕부진, 쇠약, 소변 감소","- 섭취 개수와 시간을 확인하고 즉시 병원 연락 | - 섭취량과 시간을 확인하고 즉시 병원 연락 | - 섭취량과 시간을 확인해 즉시 병원/상담 기관에 연락","- 개체별 민감도 차이로 소량도 안전하다고 단정하기 어려움 | - 건조되어 양 대비 독성 위험 평가가 중요할 수 있음 | - 소량도 개체별 반응 가능성이 있어 경과 관찰만 하지 않음","- 포도 섭취 | - 건포도 섭취 | - 포도, 건포도, 커런트 섭취","[{""source_org"": ""ASPCA Animal Poison Control"", ""source_title"": ""ASPCA"", ""url"": ""https://www.aspca.org/pet-care/aspca-poison-control/people-foods-avoid-feeding-your-pets""}, {""source_org"": ""Pet Poison Helpline"", ""source_title"": ""기존 포도/건포도 row 보완용"", ""url"": ""https://www.petpoisonhelpline.com/pet-owners/poison-proof-your-home/kitchen/""}]","1"
"6","양파/마늘/부추류","위험","- Allium류는 위장 자극과 적혈구 손상을 일으켜 빈혈로 이어질 수 있으며 개도 섭취량에 따라 위험 | - Allium류는 적혈구 손상/빈혈을 유발할 수 있음 | - 양파·마늘·리크 등 allium류는 적혈구 손상으로 빈혈을 유발할 수 있고, 조리/건조 형태도 독성이 남을 수 있음","- 구토, 설사, 무기력, 창백한 잇몸, 빈혈 관련 증상 가능 | - 무기력, 창백한 점막, 복통, 구토, 설사, 심박/호흡 증가 | - 구토, 설사, 복통, 식욕저하, 탈수, 호흡곤란, 무기력, 창백한 잇몸, 드물게 발작","- 음식 재료와 섭취량, 조리 형태를 확인해 병원 상담 | - 식품명과 섭취량, 시간을 확인해 병원 상담 | - 섭취한 재료, 조리 형태, 양, 시간을 확인하고 즉시 병원에 연락","- 조리/분말/국물 형태도 포함 여부 확인 필요 | - 증상 발생이 24시간 이후 또는 며칠 뒤 나타날 수 있음 | - 증상이 24시간 이내 또는 1~5일 뒤 나타날 수 있어 증상이 없더라도 상담 필요","- 양파, 마늘, 부추, 파, 차이브 섭취 | - 양파, 마늘, 부추, 파, 샬롯 섭취 | - 양파/마늘/리크/부추류 또는 포함 음식 섭취","[{""source_org"": ""ASPCA Animal Poison Control"", ""source_title"": ""People Foods to Avoid Feeding Your Pets"", ""url"": ""https://www.aspca.org/pet-care/aspca-poison-control/people-foods-avoid-feeding-your-pets""}, {""source_org"": ""Pet Poison Helpline"", ""source_title"": ""Top 10 Kitchen Toxins"", ""url"": ""https://www.petpoisonhelpline.com/pet-owners/poison-proof-your-home/kitchen/""}, {""source_org"": ""PDSA"", ""source_title"": ""Onion and garlic poisoning in dogs"", ""url"": ""https://www.pdsa.org.uk/pet-help-and-advice/pet-health-hub/conditions/onion-and-garlic-poisoning-in-dogs""}]","1"
"7","자일리톨","위험","- 자일리톨은 저혈당과 간 손상을 유발할 수 있고 구토·무기력·운동실조에서 발작으로 진행 가능 | - 자일리톨은 개에서 저혈당과 간부전을 유발할 수 있음","- 구토, 무기력, 비틀거림, 발작, 출혈 이상 가능 | - 구토, 쇠약, 무기력, 비틀거림, 발작","- 제품 성분표와 섭취량을 확인하고 즉시 병원 연락 | - 제품명/자일리톨 함량/섭취량/시간을 확인해 즉시 병원 연락","- 무설탕 껌/사탕/베이커리/치약 등 제품군 확인 필요 | - 증상이 30분~2시간 내 빠르게 나타날 수 있음","- 자일리톨 함유 제품 섭취 | - 무설탕 껌, 치약, 무설탕 사탕, 보충제 섭취","[{""source_org"": ""ASPCA Animal Poison Control"", ""source_title"": ""People Foods to Avoid Feeding Your Pets"", ""url"": ""https://www.aspca.org/pet-care/aspca-poison-control/people-foods-avoid-feeding-your-pets""}, {""source_org"": ""Pet Poison Helpline"", ""source_title"": ""Top 10 Kitchen Toxins"", ""url"": ""https://www.petpoisonhelpline.com/pet-owners/poison-proof-your-home/kitchen/""}]","1"
"8","마카다미아","위험","- 마카다미아는 개에서 쇠약, 운동실조, 우울, 구토, 떨림, 고체온을 유발할 수 있음 | - 개에서 신경 증상과 췌장염 위험을 유발할 수 있음","- 쇠약, 비틀거림, 구토, 떨림, 고체온 | - 쇠약, 비틀거림, 떨림, 고체온, 관절 경직","- 섭취량과 시간을 확인하고 병원 상담 | - 섭취량과 시간을 확인하고 증상이 있으면 병원 문의","- 증상은 보통 섭취 후 12시간 이내 나타날 수 있음 | - 증상은 3~6시간 내 나타나 24~36시간 지속될 수 있음","- 마카다미아 섭취 | - 마카다미아 너트 섭취","[{""source_org"": ""ASPCA Animal Poison Control"", ""source_title"": ""ASPCA"", ""url"": ""https://www.aspca.org/pet-care/aspca-poison-control/people-foods-avoid-feeding-your-pets""}, {""source_org"": ""Pet Poison Helpline"", ""source_title"": ""기존 마카다미아 row 보완용"", ""url"": ""https://www.petpoisonhelpline.com/pet-owners/poison-proof-your-home/kitchen/""}]","1"
"9","소금/고염분 음식","위험","- 과도한 염분 섭취는 구토, 설사, 우울, 떨림, 발작, 사망까지 유발할 수 있음 | - 소금 과다 섭취는 고나트륨혈증을 유발할 수 있음 | - 바닷물을 너무 많이 마시면 과도한 염분으로 근육 떨림, 방향감각 상실, 발작이 나타날 수 있고 생명을 위협할 수 있음","- 구토, 설사, 갈증/배뇨 증가, 우울, 떨림, 발작 | - 구토, 설사, 과도한 갈증, 비틀거림, 떨림, 발작 | - 물설사, 근육떨림, 방향감각 상실, 발작, 비틀거림","- 섭취량과 제품/음식 종류를 확인하고 병원 상담 | - 섭취량과 증상을 확인해 병원 상담 | - 신선한 물을 제공하고 물놀이를 중단하며 신경 증상/심한 설사/구토가 있으면 즉시 병원 문의","- 소금반죽, 육수 큐브, 매우 짠 음식은 특히 주의 | - 증상이 30분~4시간 내 나타날 수 있음 | - 해변 물놀이 중 갈증으로 바닷물을 반복 섭취할 때 위험 증가","- 과도한 염분 음식 또는 소금반죽 섭취 | - 소금, 소금물, 고염분 음식, 소금장식 섭취 | - 바닷물/소금물 섭취","[{""source_org"": ""ASPCA Animal Poison Control"", ""source_title"": ""ASPCA"", ""url"": ""https://www.aspca.org/pet-care/aspca-poison-control/people-foods-avoid-feeding-your-pets""}, {""source_org"": ""Pet Poison Helpline"", ""source_title"": ""기존 소금 row 보완용"", ""url"": ""https://www.petpoisonhelpline.com/pet-owners/poison-proof-your-home/kitchen/""}, {""source_org"": ""Cornell Richard P. Riney Canine Health Center"", ""source_title"": ""Cornell summer safety"", ""url"": ""https://www.vet.cornell.edu/departments-centers-and-institutes/riney-canine-h...""}]","1"
"10","우유/유제품","주의","반려동물은 락타아제가 충분하지 않아 우유와 유제품 섭취 시 설사 등 소화기 증상이 생길 수 있음","설사, 복부 불편, 구토 가능","소량 섭취 후 상태를 관찰하고 반복 설사/구토 시 병원 문의","섭취량과 유당 함량, 기존 소화기 상태에 따라 달라질 수 있음","우유/유제품 섭취","[{""source_org"": ""ASPCA Animal Poison Control"", ""source_title"": ""ASPCA"", ""url"": ""https://www.aspca.org/pet-care/aspca-poison-control/people-foods-avoid-feeding-your-pets""}]","0"
"11","일반 견과류/고지방 음식","주의","- 아몬드, 피칸, 호두 등 견과류는 기름과 지방이 많아 구토·설사 및 일부에서 췌장염 위험이 있음 | - 기름진 음식은 위장장애 및 췌장염 위험을 높일 수 있음","- 구토, 설사, 복통, 식욕저하 가능 | - 구토, 복통, 식욕부진, 무기력, 설사","- 섭취량을 확인하고 증상이 지속되면 병원 문의 | - 섭취량과 증상을 확인하고 반복 구토/복통/무기력 시 병원 문의","- 고지방 식품을 많이 먹었거나 췌장염 병력이 있으면 위험 상승 | - 미니어처 슈나우저·푸들·코커스패니얼, 비만/노령견은 더 주의","- 견과류/고지방 음식 섭취 | - 기름진 고기, 명절 음식, 지방 많은 음식 섭취","[{""source_org"": ""ASPCA Animal Poison Control"", ""source_title"": ""ASPCA"", ""url"": ""https://www.aspca.org/pet-care/aspca-poison-control/people-foods-avoid-feeding-your-pets""}, {""source_org"": ""Pet Poison Helpline"", ""source_title"": ""PPH 주방 독소"", ""url"": ""https://www.petpoisonhelpline.com/pet-owners/poison-proof-your-home/kitchen/""}]","1"
"12","생고기/날계란","주의","생고기와 날계란은 Salmonella, E. coli 등 세균 위험이 있으며 날계란은 비타민 흡수 방해 가능성도 언급됨","구토, 설사, 식욕저하, 발열 가능","섭취량과 보관 상태를 확인하고 소화기 증상 발생 시 병원 문의","면역 저하, 어린 강아지, 증상 동반 시 상담 필요","생고기 또는 날계란 섭취","[{""source_org"": ""ASPCA Animal Poison Control"", ""source_title"": ""ASPCA"", ""url"": ""https://www.aspca.org/pet-care/aspca-poison-control/people-foods-avoid-feeding-your-pets""}]","0"
"13","뼈","위험","뼈 섭취는 위장관 손상 또는 폐색으로 이어질 수 있고 심한 경우 수술이 필요할 수 있음","구토, 복통, 변비/혈변, 식욕저하, 무기력 가능","삼킨 뼈 종류와 크기, 시간을 확인하고 병원 문의","날카로운 뼈나 가금류 뼈는 특히 주의","뼈, 닭뼈, 칠면조 뼈 등 섭취","[{""source_org"": ""ASPCA Animal Poison Control"", ""source_title"": ""ASPCA"", ""url"": ""https://www.aspca.org/pet-care/aspca-poison-control/people-foods-avoid-feeding-your-pets""}]","1"
"14","칠면조/닭뼈 포함 명절 음식","위험","명절 음식은 뼈, 양파/마늘, 고염분 육수, 생반죽, 초콜릿, 자일리톨 등 위험 재료가 섞일 수 있음","구토, 설사, 복통, 무기력, 발작 가능","음식 재료와 뼈 포함 여부, 섭취량과 시간을 확인해 병원 문의","양념된 음식이나 뼈 포함 음식은 소량이라도 안전하다고 단정하지 않음","명절 음식 섭취","[{""source_org"": ""ASPCA Animal Poison Control"", ""source_title"": ""ASPCA"", ""url"": ""https://www.aspca.org/pet-care/general-pet-care/thanksgiving-safety-tips""}]","1"
"15","할로윈 사탕","위험","- 할로윈 사탕에는 초콜릿 또는 자일리톨 함유 무설탕 제품이 포함될 수 있음 | - 다량의 당분/고지방 사탕은 췌장염 위험을 높일 수 있음","- 구토, 설사, 무기력, 떨림, 발작 가능 | - 식욕저하, 구토, 설사, 무기력, 복통","- 사탕 종류, 포장지, 섭취량과 시간을 확인해 병원 연락 | - 섭취량을 확인하고 반복 구토·복통·무기력 시 병원 문의","- 포장지를 함께 삼킨 경우 이물질 위험도 확인 | - 증상이 2~4일 뒤 나타날 수 있음","- 할로윈 사탕 섭취 | - 사탕, 고지방 간식, 할로윈 캔디 과식","[{""source_org"": ""ASPCA Animal Poison Control"", ""source_title"": ""ASPCA"", ""url"": ""https://www.aspca.org/pet-care/general-pet-care/halloween-safety-tips""}, {""source_org"": ""Pet Poison Helpline"", ""source_title"": ""할로윈 음식 위험"", ""url"": ""https://www.petpoisonhelpline.com/pet-owners/seasons/halloween/""}]","1"
"16","과도한 물 섭취","위험","수영장이나 호수에서 물을 너무 많이 삼키면 전해질 희석으로 뇌부종, 발작, 신경 이상, 사망까지 이어질 수 있음","비틀거림, 이상행동, 발작, 멍함, 신경 증상","물놀이를 중단하고 즉시 병원에 연락","물놀이 중 공/막대기 놀이로 물을 많이 삼킬 때 위험 증가","수영장/호수 물놀이 중 과도한 물 섭취","[{""source_org"": ""Cornell Richard P. Riney Canine Health Center"", ""source_title"": ""Cornell summer safety"", ""url"": ""https://www.vet.cornell.edu/departments-centers-and-institutes/riney-canine-h...""}]","1"
"17","코코아 멀치","위험","코코아빈 멀치는 초콜릿처럼 개에게 독성이 있어 피해야 함","구토, 설사, 흥분, 심박 이상, 떨림, 발작 가능","섭취량과 시간을 확인하고 제품 포장 또는 사진을 준비해 병원 문의","초콜릿 냄새로 개가 관심을 보일 수 있어 접근 차단 필요","코코아 멀치 섭취","[{""source_org"": ""Cornell Richard P. Riney Canine Health Center"", ""source_title"": ""Cornell summer safety"", ""url"": ""https://www.vet.cornell.edu/departments-centers-and-institutes/riney-canine-h...""}]","1"
"18","생감자/날감자","주의","PDSA는 감자는 allium이 아니지만 raw potatoes는 개에게 독성이 있을 수 있고, 급여 시에는 익히고 양념 없이 제공해야 한...","구토, 설사, 복부 불편 가능","먹은 양과 상태를 확인하고 소화기 증상이 있으면 병원에 문의","익히지 않은 감자, 싹난 감자, 양념된 감자는 피함","생감자/날감자 섭취","[{""source_org"": ""PDSA"", ""source_title"": ""Onion and garlic poisoning in dogs"", ""url"": ""https://www.pdsa.org.uk/pet-help-and-advice/pet-health-hub/conditions/onion-and-garlic-poisoning-in-dogs""}]","0"
"19","백합(Lilies)","위험","특히 고양이에게 매우 독성이 강하며 소량 섭취나 꽃가루 핥기만으로도 신부전/사망 위험이 있음","구토, 무기력, 식욕저하, 신장 문제 가능","식물 사진/이름과 노출량을 확인하고 즉시 수의사 또는 독성 상담 기관에 연락","백합을 먹거나 꽃가루를 핥은 경우","백합을 먹거나 꽃가루를 핥은 경우","[{""source_org"": ""VCA Animal Hospitals"", ""source_title"": ""고양이 위험도가 특히 높음"", ""url"": ""https://vcahospitals.com/resources/lifestyle-cat/hazards-safety/top-10-toxic-...""}]","1"
"20","필로덴드론/스네이크플랜트/포토스","주의","calcium oxalate crystals가 입안 화상, 과도한 침흘림, 구토를 유발할 수 있음","입 통증, 침흘림, 구토","식물명과 섭취량을 확인하고 증상이 있으면 병원 상담","잎을 씹거나 섭취","잎을 씹거나 섭취","[{""source_org"": ""VCA Animal Hospitals"", ""source_title"": ""칼슘옥살레이트 식물군"", ""url"": ""https://vcahospitals.com/resources/lifestyle-cat/hazards-safety/top-10-toxic-...""}]","0"
"21","협죽도(Oleander)","위험","cardiac glycosides를 포함해 침흘림, 설사, 복통, 부정맥, 신경 증상을 유발할 수 있음","침흘림, 설사, 복통, 심장박동 이상, 신경 증상","섭취가 의심되면 즉시 병원 또는 독성 상담 기관에 연락","잎/꽃/가지 섭취","잎/꽃/가지 섭취","[{""source_org"": ""VCA Animal Hospitals"", ""source_title"": ""심장 독성"", ""url"": ""https://vcahospitals.com/resources/lifestyle-cat/hazards-safety/top-10-toxic-...""}]","1"
"22","알로에(Aloe)","주의","식물을 씹으면 구토, 설사, 무기력이 나타날 수 있음","구토, 설사, 무기력","섭취량과 증상을 확인하고 병원 상담","알로에 식물 섭취","알로에 식물 섭취","[{""source_org"": ""VCA Animal Hospitals"", ""source_title"": ""젤이 아닌 식물 섭취 기준"", ""url"": ""https://vcahospitals.com/resources/lifestyle-cat/hazards-safety/top-10-toxic-...""}]","0"
"23","국화(Chrysanthemum)","주의","여러 독성 성분으로 구토와 운동실조가 나타날 수 있으며 소량 섭취는 비교적 경미할 수 있음","구토, 비틀거림/운동실조","섭취량과 증상을 확인하고 병원 상담","국화 섭취","국화 섭취","[{""source_org"": ""VCA Animal Hospitals"", ""source_title"": ""가을 꽃"", ""url"": ""https://vcahospitals.com/resources/lifestyle-cat/hazards-safety/top-10-toxic-...""}]","0"
"24","히아신스/튤립 구근","위험","독소가 뿌리와 구근에 집중되어 구근을 씹으면 심한 구토/설사, 침흘림, 입 화상을 유발할 수 있음","심한 구토, 설사, 침흘림, 입 통증/화상","구근 섭취 여부를 확인하고 즉시 병원 상담","구근을 씹거나 삼킨 경우","구근을 씹거나 삼킨 경우","[{""source_org"": ""VCA Animal Hospitals"", ""source_title"": ""구근 섭취 위험"", ""url"": ""https://vcahospitals.com/resources/lifestyle-cat/hazards-safety/top-10-toxic-...""}]","1"
"25","옥수/Jade plant","주의","씹으면 구토, 우울, 균형 상실이 나타날 수 있음","구토, 우울, 균형 상실","섭취량과 신경 증상 여부를 확인하고 병원 상담","옥수 식물 섭취","옥수 식물 섭취","[{""source_org"": ""VCA Animal Hospitals"", ""source_title"": ""다육식물"", ""url"": ""https://vcahospitals.com/resources/lifestyle-cat/hazards-safety/top-10-toxic-household-plants-for-pets""}]","0"
"26","사고야자(Sago palm)","위험","cycasin 독소로 며칠 내 심한 간부전이 발생할 수 있고 모든 부위가 독성이며 치명적일 수 있음","구토, 설사, 무기력, 간부전 징후 가능","섭취 의심 즉시 병원 또는 독성 상담 기관에 연락","씨앗/잎 등 모든 부위 섭취","씨앗/잎 등 모든 부위 섭취","[{""source_org"": ""VCA Animal Hospitals"", ""source_title"": ""치명적 식물"", ""url"": ""https://vcahospitals.com/resources/lifestyle-cat/hazards-safety/top-10-toxic-household-plants-for-pets""}]","1"
"27","수선화(Daffodil)","위험","어느 부위를 먹어도 심한 구토, 설사, 복통, 경련, 부정맥을 유발할 수 있음","심한 구토, 설사, 복통, 경련, 심장박동 이상","섭취 의심 시 즉시 병원 상담","수선화 섭취","수선화 섭취","[{""source_org"": ""VCA Animal Hospitals"", ""source_title"": ""봄꽃"", ""url"": ""https://vcahospitals.com/resources/lifestyle-cat/hazards-safety/top-10-toxic-household-plants-for-pets""}]","1"
"28","아스파라거스 펀","주의","접촉 시 피부 자극, berries 섭취 시 구토·복통·설사를 유발할 수 있음","피부 자극, 구토, 복통, 설사","접촉/섭취 여부와 증상을 확인하고 병원 상담","식물 접촉 또는 열매 섭취","식물 접촉 또는 열매 섭취","[{""source_org"": ""VCA Animal Hospitals"", ""source_title"": ""열매 섭취/피부 자극"", ""url"": ""https://vcahospitals.com/resources/lifestyle-cat/hazards-safety/top-10-toxic-household-plants-for-pets""}]","0"
"29","닭가슴살","안전","양념 없이 충분히 익힌 닭가슴살은 일반적으로 반려견에게 급여할 수 있는 단백질 식품입니다.","대부분 특별한 증상 없음. 다만 과식하거나 기존 소화기 질환이 있으면 구토, 설사, 복부 불편이 생길 수 있음","껍질, 뼈, 양념, 소스, 기름을 제거하고 소량씩 급여합니다. 구토나 설사가 반복되면 급여를 중단하고 병원에 문의합니다.","처음 먹는 경우에는 소량부터 확인하고, 알레르기 병력이나 췌장염 병력이 있으면 수의사 상담 후 급여합니다.","삶거나 찐 무양념 닭가슴살 기준. 양파, 마늘, 소금, 버터, 매운 소스가 들어간 조리식은 제외","[{""source_org"": ""AKC"", ""source_title"": ""Can Dogs Eat Chicken?"", ""url"": ""https://www.akc.org/expert-advice/nutrition/can-dogs-eat-chicken/""}]","0"
"30","고구마","안전","익힌 고구마는 소량 급여 시 섬유질과 탄수화물 공급원이 될 수 있습니다.","대부분 특별한 증상 없음. 과식하면 설사, 복부 팽만, 구토가 생길 수 있음","삶거나 찐 고구마를 식혀서 껍질과 양념 없이 소량 급여합니다. 소화기 증상이 있으면 급여를 중단합니다.","당뇨, 비만, 소화기 질환이 있거나 처음 급여하는 경우에는 양을 줄이고 상태를 관찰합니다.","익힌 무양념 고구마 기준. 생고구마, 설탕/버터/소금이 들어간 조리식은 제외","[{""source_org"": ""AKC"", ""source_title"": ""Can Dogs Eat Sweet Potatoes?"", ""url"": ""https://www.akc.org/expert-advice/nutrition/can-dogs-eat-sweet-potatoes/""}]","0"
