"id","management_number","hospital_name","address","phone","operating_status","source_modified_at"
"1","300000001019950002","대학로동물병원","서울특별시 종로구 창경궁로 261 (명륜2가)","02-3672-8441","영업/정상","2019-04-29 17:30:23"
"2","300000001020010002","해동물병원","서울특별시 종로구 지봉로 53-1 (창신동)","02-744-9098","영업/정상","2020-11-10 13:02:15"
"3","300000001020020001","북악동물병원","서울특별시 종로구 자하문로 293 (홍지동)","","영업/정상","2019-04-29 17:31:33"
"4","300000001020060001","올리브동물병원","서울특별시 종로구 자하문로 305 (홍지동)","","영업/정상","2026-04-30 11:36:05"
"5","300000001020080001","우리동물병원","서울특별시 종로구 지봉로 96-3 (숭인동)","02-3676-1190","영업/정상","2008-03-14 10:32:57"
"6","300000001020090001","누리봄동물병원","서울특별시 종로구 사직로12길 2 (내자동)","02-735-7530","영업/정상","2009-07-08 11:53:36"
"7","300000001020160001","광화문동물병원","서울특별시 종로구 자하문로 35-3, 씨에스코즈빌 101호 (통인동)","","영업/정상","2020-07-31 15:26:29"
"8","300000001020170001","경희궁 바른 동물병원","서울특별시 종로구 송월길 99, 상가동 2층 2229호 (홍파동, 경희궁자이 2단지)","","영업/정상","2023-03-31 09:34:28"
"9","300000001020200001","선동물병원","서울특별시 종로구 자하문로 95, 신교빌딩 1층 (신교동)","02-733-6030","영업/정상","2020-05-17 10:59:48"
"10","300000001020220001","폴라동물병원","서울특별시 종로구 낙산길 311, 지1층 (숭인동)","","영업/정상","2022-06-13 16:55:05"
"11","300000001020230001","뉴욕동물병원","서울특별시 종로구 창경궁로35길 19, 2층 (혜화동)","02-762-7582","영업/정상","2023-08-21 09:57:11"
"12","300000001019990001","월드펫동물병원","서울특별시 종로구 평창문화로 75, 글로리아타운 111호 (평창동)","","영업/정상","2023-03-17 15:58:31"
"13","301000001020230001","힐스타운 동물병원","서울특별시 중구 다산로 32, 스포츠상가동 106-2호 (신당동, 남산타운)","02-2237-7582","영업/정상","2026-03-13 17:37:19"
"14","301000001019900001","윤신근박사동물병원","서울특별시 중구 퇴계로 226 (필동2가)","02-2274-8558","영업/정상","2022-07-05 16:43:28"
"15","301000001019920001","바우미우동물병원","서울특별시 중구 다산로 175, 명덕빌딩 (신당동)","02-2237-3366","영업/정상","2024-09-04 08:56:41"
"16","301000001019950001","황동물병원","서울특별시 중구 퇴계로 254-1 (묵정동)","02-2278-0075","영업/정상","2022-07-05 16:42:41"
"17","301000001019950002","대한동물병원","서울특별시 중구 퇴계로 227 (충무로4가)","02-2263-6134","영업/정상","2022-07-05 16:47:54"
"18","301000001020000002","남산동물병원","서울특별시 중구 다산로 32, 5상가동 217호 (신당동, 남산타운)","02-2256-8275","영업/정상","2022-07-05 16:48:46"
"19","301000001020010001","미래지동물의료센터","서울특별시 중구 다산로 107, 2층 (신당동)","02-2233-7574","영업/정상","2024-11-08 17:50:09"
"20","301000001020110002","백슬동물병원","서울특별시 중구 만리재로 175, 지하1층 401-1호 (만리동2가, 서울역센트럴자이)","02-393-7588","영업/정상","2023-07-19 15:33:51"
"21","301000001020140001","신당 좋아요 동물병원","서울특별시 중구 다산로36길 83, 1층 (신당동)","02-2233-6675","영업/정상","2022-05-31 12:54:17"
"22","301000001020160002","바른동물병원","서울특별시 중구 퇴계로 447, 1층 131호 (황학동, 황학 아크로타워)","02-2232-7975","영업/정상","2020-07-16 16:35:08"
"23","301000001020190003","애니컴 메디컬센터","서울특별시 중구 다산로 83-1, 3층 (신당동)","02-2232-9702","영업/정상","2026-04-23 13:32:27"
"24","301000001020190004","메종동물병원","서울특별시 중구 다산로 230, 하나빌딩 1층 (신당동)","02-2038-7555","영업/정상","2019-05-13 09:02:06"
"25","301000001020190005","웰니스클리닉(청계천점)","서울특별시 중구 청계천로 400, 지하 1층 (황학동, 롯데캐슬베네치아)","02-2234-7585","영업/정상","2022-12-29 18:12:26"
"26","301000001020190006","헬릭스동물심장수술센터","서울특별시 중구 을지로38길 20, 뉴천지관광호텔 2층 (을지로5가)","02-6965-7502","영업/정상","2023-06-19 18:21:07"
"27","301000001020190007","헬릭스동물암센터","서울특별시 중구 을지로38길 20, 뉴천지관광호텔 1층 (을지로5가)","02-6956-7502","영업/정상","2023-06-19 17:15:18"
"28","301000001020190008","서울동물영상종양센터","서울특별시 중구 을지로38길 20, 뉴천지관광호텔 1층 (을지로5가)","02-6956-7502","영업/정상","2026-05-18 20:21:07"
"29","301000001020200001","웰튼동물의료센터","서울특별시 중구 난계로 197, 1,2,4층 (황학동)","02-2253-2233","영업/정상","2026-01-27 09:17:44"
"30","301000001020210001","에스디(SD)동물영상센터,서울","서울특별시 중구 왕십리로 407, B1-1호 (신당동, 신당 파인힐 하나유보라)","","영업/정상","2024-06-12 15:11:02"
"31","301000001020210002","에스디(SD)동물의료센터,서울","서울특별시 중구 왕십리로 407, 신당 파인힐 하나유보라 B1층 03,04,05호 (신당동, 신당 파인힐 하나유보라)","02-2039-0303","영업/정상","2026-06-04 10:12:43"
"32","302000001020160001","바다동물병원(Bada Animal Hospital)","서울특별시 용산구 서빙고로 67, 지하1층 비21호 (용산동5가, 파크타워)","02-792-2561","영업/정상","2019-03-06 14:11:15"
"33","302000001020160002","24시 시유동물메디컬센터","서울특별시 용산구 이촌로64길 24, 지상1층 101호 (이촌동)","02-793-0075","영업/정상","2025-07-23 14:35:36"
"34","302000001020170001","베이동물병원","서울특별시 용산구 이촌로 248, 11동 102호 (이촌동, 한강맨션)","02-749-7588","영업/정상","2019-03-06 14:12:33"
"35","302000001020170002","더힐동물의료센터","서울특별시 용산구 독서당로 81-1, 아이리스프라자 지상3층 (한남동)","02-792-8275","영업/정상","2023-12-05 09:04:02"
"36","302000001020190001","원스동물병원","서울특별시 용산구 청파로47길 16, 지상1층 (청파동2가)","02-719-8275","영업/정상","2025-07-29 14:56:16"
"37","302000001020230001","이상윤동물병원","서울특별시 용산구 이촌로 248, 31동 105-2호 (이촌동, 한강맨션)","02-792-5455","영업/정상","2024-02-16 11:04:45"
"38","302000001020230002","에스동물병원","서울특별시 용산구 서빙고로 17, 헤링턴스퀘어 센트럴파크 몰동 1146, 1147호 (한강로3가)","","영업/정상","2023-03-16 18:43:31"
"39","302000001020240001","위런한방재활동물병원","서울특별시 용산구 한강대로 95, 225호 (한강로2가, 래미안용산 더 센트럴)","02-2138-3877","영업/정상","2024-09-12 14:29:05"
"40","302000001020250001","한남심장내과동물병원","서울특별시 용산구 독서당로 46, 111호 (한남동, 한남아이파크)","02-6085-4777","영업/정상","2025-03-20 10:38:18"
"41","302000001020250002","용산마음동물병원","서울특별시 용산구 백범로 340, 2층 (원효로2가)","02-711-7580","영업/정상","2025-07-31 10:02:44"
"42","302000001020260001","더베이스 동물피부과병원","서울특별시 용산구 한강대로 95, B동 지하2층 263호 (한강로2가, 래미안용산 더 센트럴)","02-6954-0175","영업/정상","2026-05-20 18:07:30"
"43","302000001020020002","남산동물병원","서울특별시 용산구 후암로 51, 지상1층 (후암동)","","영업/정상","2019-03-06 13:57:29"
"44","302000001020020003","효창동물병원","서울특별시 용산구 백범로 293 (효창동)","","영업/정상","2025-07-29 14:24:31"
"45","302000001020020009","열린동물종합병원","서울특별시 용산구 원효로 171, 신영빌딩 (원효로2가)","02-3273-0075","영업/정상","2025-07-29 14:28:14"
"46","302000001020020014","원효종합동물병원","서울특별시 용산구 새창로 122-2(용문동)","","영업/정상","2022-07-06 16:41:09"
"47","302000001020030004","한사랑동물병원","서울특별시 용산구 신흥로 36-1 (용산동2가)","","영업/정상","2026-02-19 13:26:14"
"48","302000001020050004","청화종합동물병원","서울특별시 용산구 장문로 18, 2층 (동빙고동)","","영업/정상","2026-04-02 13:27:49"
"49","302000001020050005","펫토이동물병원","서울특별시 용산구 대사관로 32 (한남동)","","영업/정상","2019-03-06 14:01:27"
"50","302000001020090002","금강동물병원","서울특별시 용산구 이촌로 300, 렉스상가 8-1,8-2호 (이촌동)","","영업/정상","2021-07-19 15:33:40"
"51","302000001020090003","라온동물병원","서울특별시 용산구 회나무로 7, 2층 (이태원동)","","영업/정상","2026-05-15 09:05:52"
"52","302000001020100001","아프리카동물병원","서울특별시 용산구 후암로 32 (후암동)","","영업/정상","2021-08-02 10:04:46"
"53","302000001020110001","엉클장동물병원","서울특별시 용산구 백범로 341, A동 지상1층 106호 (원효로1가, 리첸시아 용산)","","영업/정상","2019-03-06 14:03:47"
"54","302000001020110002","펫동물병원","서울특별시 용산구 백범로 285, 지상1층 (효창동)","02-3275-0079","영업/정상","2019-03-06 14:04:56"
"55","302000001020120001","달래동물의료센터","서울특별시 용산구 한남대로 76, 한남프라자 2층 (한남동)","","영업/정상","2024-10-10 11:38:22"
"56","302000001020120003","민트동물병원","서울특별시 용산구 원효로 51, 119호 (산천동, 삼성테마트)","","영업/정상","2019-12-06 13:07:11"
