"id","category","symptom_keyword","condition_text","action_text","do_not_action","source_title","source_org","source_url","source_type"
"1","공통 응급처치","응급","응급 상황에서는 보호자 응급처치만으로 해결하려 하지 말고 동물병원 진료를 우선해야 한다.","응급 상황이면 가까운 동물병원으로 이동하고, 이동 중 필요하면 병원에 연락해 안내를 받는다.","응급처치만으로 해결하려 하거나 수의학 진료를 미루지 않는다.","First Aid Tips for Pet Owners","AVMA","https://www.avma.org/resources-tools/pet-owners/emergencycare/first-aid-tips-pet-owners","전문기관"
"2","부상/안전","부상","부상 반려견을 다룰 때 보호자 안전을 먼저 확보해야 한다.","얼굴을 반려견 입 가까이 두지 않고, 가능하면 다른 사람의 도움을 받아 이동한다.","부상 반려견을 끌어안거나 얼굴을 입 가까이 대지 않는다. 구토 중인 반려견에게 입마개를 하지 않는다.","First Aid Tips for Pet Owners","AVMA","https://www.avma.org/resources-tools/pet-owners/emergencycare/first-aid-tips-pet-owners","전문기관"
"3","중독","독성","독성 물질 섭취/접촉 또는 신경·호흡 증상이 동반되면 즉시 병원/독성 상담 기관 연락 대상이다.","물질명, 노출량, 경과 시간, 증상, 반려견 기본정보를 준비해 즉시 연락한다.","수의사 지시 없이 임의로 구토를 유도하거나 해독제를 사용하지 않는다.","First Aid Tips for Pet Owners","AVMA","https://www.avma.org/resources-tools/pet-owners/emergencycare/first-aid-tips-pet-owners","전문기관"
"4","중독","수의사 전달","수의사 전달용 PDF에는 반려견 정보, 증상, 물질명, 노출량, 경과 시간, 제품 포장 여부를 포함해야 한다.","기본 정보와 노출 정보를 정리하고, 가능하면 포장지/용기와 구토물·씹은 물질을 밀봉해 가져간다.","불확실한 노출량이나 시간을 추측해 확정값처럼 쓰지 않는다.","First Aid Tips for Pet Owners","AVMA","https://www.avma.org/resources-tools/pet-owners/emergencycare/first-aid-tips-pet-owners","전문기관"
"5","외상","골절","골절·심한 절뚝거림은 안정화 후 병원 이동이 필요한 상황이다.","가능하면 평평한 곳에 눕혀 지지하고, 이동 중 움직임을 줄여 병원으로 간다.","확신 없이 부목이나 붕대를 잘못 적용하지 않는다.","First Aid Tips for Pet Owners","AVMA","https://www.avma.org/resources-tools/pet-owners/emergencycare/first-aid-tips-pet-owners","전문기관"
"6","출혈","코피","내부 출혈 의심 징후는 즉시 병원 방문 대상이다.","따뜻하고 조용하게 유지하며 가장 가까운 동물병원으로 즉시 이동한다.","상태를 지켜보며 지연하지 않는다.","First Aid Tips for Pet Owners","AVMA","https://www.avma.org/resources-tools/pet-owners/emergencycare/first-aid-tips-pet-owners","전문기관"
"7","출혈","피","심한 외부 출혈은 압박 후 즉시 병원 이동 대상이다.","깨끗한 천으로 직접 압박하고, 심하면 병원으로 즉시 이동한다.","피가 밴 천을 제거하지 말고 위에 덧대며, 지혈 여부를 너무 자주 확인하지 않는다.","First Aid Tips for Pet Owners","AVMA","https://www.avma.org/resources-tools/pet-owners/emergencycare/first-aid-tips-pet-owners","전문기관"
"8","화상","화상","화상은 통증과 악화 가능성이 있어 즉시 진료 권장 상황이다.","상온의 물로 식히고 젖은 수건으로 덮은 뒤 병원으로 이동한다.","차가운 얼음물이나 자극적인 처치를 임의로 하지 않는다.","First Aid Tips for Pet Owners","AVMA","https://www.avma.org/resources-tools/pet-owners/emergencycare/first-aid-tips-pet-owners","전문기관"
"9","눈","눈","눈 부상이나 눈 이물질은 빠르게 악화될 수 있어 즉시 진료 권장 상황이다.","가능하면 식염수로 부드럽게 씻고, 눈을 비비지 못하게 한 뒤 병원에 간다.","손가락이나 도구로 눈 속 물체를 잡아 빼려 하지 않는다.","First Aid Tips for Pet Owners","AVMA","https://www.avma.org/resources-tools/pet-owners/emergencycare/first-aid-tips-pet-owners","전문기관"
"10","교상/독","뱀","뱀에 물린 경우 즉시 병원 방문 대상이다.","가능하면 안전한 거리에서 사진을 찍고 즉시 병원으로 이동한다.","뱀을 잡거나 죽이려 하지 않고, 병원에 뱀을 가져가지 않는다.","First Aid Tips for Pet Owners","AVMA","https://www.avma.org/resources-tools/pet-owners/emergencycare/first-aid-tips-pet-owners","전문기관"
